Ticker,Name,Price,Dividend Yield,Market Cap ($M),P/E Ratio,Payout Ratio
FUWAF,FURUKAWA ELECTRIC,$35.45 ,0.00%,$,,
FUWAY,"Furukawa Electric Co., Ltd.",$13.50 ,2.70%,"$1,970 ",12.5,33.80%
GLW,Corning Incorporated,$31.23 ,2.30%,"$24,692 ",18.5,43.10%
GREZF,"Gree, Inc.",$4.30 ,0.00%,"$1,000 ",22.6,0.00%
GRMN,Garmin Ltd.,$65.14 ,3.30%,"$12,156 ",18.8,62.00%
GSB,GlobalSCAPE Inc.,$4.40 ,1.40%,$79 ,,
GTOFF,Gemalto N.V.,$56.60 ,0.00%,"$5,234 ",84.5,0.00%
GTOMY,Gemalto N.V.,$28.81 ,0.00%,"$5,293 ",86.6,0.00%
GYUAF,GS YUASA CORP,$23.05 ,0.00%,$,,
HIMX,Himax Technologies Inc.,$4.08 ,2.30%,$685 ,29.1,65.90%
HNHPF,"Hon Hai Precision Industry Co., Ltd.",$3.98 ,3.20%,"$27,747 ",8,25.50%
HOCPF,HOYA Corporation,$59.00 ,1.40%,"$22,832 ",23.1,32.40%
HPE,Hewlett Packard Enterprise Company,$14.91 ,3.10%,"$21,383 ",10.6,32.70%
HPHTF,Hamamatsu Photonics K.K.,$33.07 ,0.90%,"$5,172 ",26.7,25.10%
HPQ,HP Inc.,$23.00 ,2.80%,"$35,778 ",12,34.00%
HPS.A.TO,Hammond Power Solutions Inc.,$5.73 ,4.10%,$67 ,26,106.50%
HRELF,"Haier Electronics Group Co., Ltd.",$2.18 ,0.00%,"$6,137 ",10.9,0.00%
HRS,Harris Corporation,$146.13 ,1.90%,"$17,236 ",23.5,44.00%
HTHIF,"Hitachi, Ltd.",$30.97 ,0.50%,"$28,839 ",8.3,3.80%
HTHIY,"Hitachi, Ltd.",$56.21 ,2.50%,"$28,207 ",7.6,19.00%
HURC,Hurco Companies Inc.,$39.81 ,1.10%,$270 ,,
HXGBF,Hexagon AB,$47.81 ,0.00%,"$17,327 ",19.2,0.00%
HXGBY,Hexagon AB,$45.42 ,1.30%,"$17,302 ",18.2,24.30%
IBIDF,IBIDEN CO LTD,$16.13 ,0.00%,$,,
IBM,International Business Machines Corporation,$118.78 ,5.40%,"$106,511 ",8.4,45.00%
IFNNF,Infineon Technologies AG,$19.20 ,1.50%,"$21,207 ",17.3,26.60%
IFNNY,Infineon Technologies AG,$19.27 ,1.60%,"$22,717 ",17.4,27.10%
IIJI,Internet Initiative Japan Inc.,$10.35 ,0.00%,$933 ,26.5,0.00%
INFY,Infosys Limited American Depositary Shares,$9.07 ,2.10%,"$39,518 ",14.6,30.50%
INTC,Intel Corporation,$47.83 ,2.50%,"$216,288 ",10.9,27.60%
INTU,Intuit Inc.,$195.64 ,1.00%,"$50,488 ",42.5,41.00%
ISDR,Issuer Direct Corporation,$11.25 ,1.80%,$35 ,,
ITRN,Ituran Location and Control Ltd.,$33.11 ,2.90%,$693 ,15.9,46.20%
ITTOF,ITOCHU TECHNO-SOLU,$11.60 ,0.00%,$,,
JBL,Jabil Inc.,$24.42 ,1.30%,"$3,882 ",12.1,16.10%
JCOM,j2 Global Inc.,$71.34 ,2.40%,"$3,504 ",12.7,31.00%
JCS,Communications Systems Inc.,$2.43 ,6.60%,$22 ,-2.8,-18.60%
JEHLY,JOHNSON ELEC HLDGS,$22.77 ,0.00%,$,,
JELCF,Johnson Electric Holdings Limited,$2.59 ,1.60%,"$2,009 ",8.6,14.20%
JNPR,Juniper Networks Inc.,$27.48 ,2.60%,"$9,412 ",21.1,55.80%
KACPF,KOA CORPORATION,$7.20 ,0.00%,$,,
KDCXF,KUDELSKI SA,$9.47 ,0.00%,$,,
KLAC,KLA-Tencor Corporation,$95.44 ,3.20%,"$14,463 ",12.8,40.80%
KNAMF,Konami Holdings Corporation,$41.91 ,1.40%,"$5,502 ",20.7,28.60%
KNMCY,Konami Holdings Corporation,$42.95 ,2.50%,"$5,849 ",21.3,53.20%
KSFTF,Kingsoft Corporation Limited,$1.50 ,0.00%,"$2,293 ",5.1,0.00%
KYCCF,Keyence Corporation,$527.00 ,0.20%,"$65,623 ",31.5,5.30%
KYOCF,Kyocera Corporation,$54.00 ,2.00%,"$18,646 ",22,44.10%
KYOCY,Kyocera Corporation,$50.30 ,2.10%,"$18,911 ",20.5,43.10%
LARRF,,$0.00 ,0.00%,$,,
LDOS,Leidos Holdings Inc.,$62.80 ,2.00%,"$9,351 ",15.1,30.90%
LFUS,Littelfuse Inc.,$180.86 ,1.00%,"$4,453 ",19.3,18.80%
LNVGF,Lenovo Group Limited,$0.74 ,2.10%,"$8,487 ",-738.5,-1550.90%
LNVGY,Lenovo Group Limited,$14.60 ,2.00%,"$8,468 ",-730,-1489.20%
LOGI,Logitech International S.A.,$32.64 ,1.40%,"$5,376 ",25.3,34.80%
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,$7.81 ,3.00%,"$5,532 ",52,157.50%
LRCX,Lam Research Corporation,$146.13 ,3.10%,"$22,261 ",9.3,28.50%
LYTS,LSI Industries Inc.,$4.17 ,4.90%,$107 ,19,92.00%
MANT,ManTech International Corporation,$54.74 ,1.80%,"$2,184 ",27.2,49.50%
MAXR,Maxar Technologies Ltd.,$16.41 ,7.10%,$943 ,4.7,33.50%
MAXR.TO,Maxar Technologies Ltd.,$21.19 ,5.80%,"$1,268 ",-3.4,-19.70%
MCFUF,Micro Focus International plc,$18.38 ,6.20%,"$8,099 ",9.6,59.40%
